sample_id	Bact_Phoc	Prevotella	Firmicutes	enterotype	Enterotype_Dysbiosis_Score
UC.039.01	0.4032428562641144	0.1795378178358078	0.4215244948863983	Firmicutes	0.7633832340592888
UC.041.02	0.36582520604133606	0.23886127769947052	0.3966674506664276	Firmicutes	0.812448863861812
UC.031.03	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.036.01	0.34417304396629333	0.29747289419174194	0.38555091619491577	Firmicutes	0.8343919299898421
UC.036.04	0.34686264395713806	0.2946985960006714	0.3839110732078552	Firmicutes	0.8376288365272949
UC.043.02	0.34436312317848206	0.28833144903182983	0.3903880715370178	Firmicutes	0.8248438086922104
UC.049.01	0.3544732630252838	0.29460856318473816	0.38700181245803833	Firmicutes	0.8315279877488319
UC.049.08	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.050.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.050.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.052.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.046.06	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.052.04	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.041.08	0.34686264395713806	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.042.04	0.3454552888870239	0.2923804521560669	0.39017733931541443	Firmicutes	0.8252597756543784
UC.045.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.057.01	0.34435024857521057	0.1929854303598404	0.4597858488559723	Firmicutes	0.6878586699558007
UC.059.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.059.03	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.004.02	0.34390124678611755	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.011.04	0.3375421464443207	0.205556720495224	0.43728286027908325	Firmicutes	0.7322775999457538
LD.020.01	0.4221169054508209	0.25342583656311035	0.3792911767959595	Bact_Phoc	0.826291798776876
UC.058.03	0.34686264395713806	0.30596309900283813	0.3803110122680664	Firmicutes	0.8447350417452222
